ID,UtilityTypeId,Title,URL,Phone,Source,Type
4950,6,Buckeye AZ,https://www.buckeyeaz.gov/community/residents/water-resources/wastewater-services,6233496000,staff,link
1815,2,City of Westerville (OH),https://www.westerville.org/services/utility-billing/service-initiation?,6149016430,staff,link
8118,3,Columbus County NC,https://columbusco.org/public-utilites,9106422828,staff,link
513,3,Montgomery County MUD 60,https://drive.google.com/file/d/1CPQghqNdGcPxI1aB8TjcxnzDkT-0OhSC/view,8554267283,staff,link
8252,5,City of Beaver Dam - WI,https://www.ci.beaverdam.wi.gov/163/garbage-recycling,9208874600,staff,link
11036,2,City of Celina - OH,https://celinaohio.org/city-government/utilities?electricity,4195862311,staff,link
535,2,Little River Electric Co Op,https://lreci.coop/,8004592141,partner,link
1893,3,City of Senoia,https://www.senoia.com/water,7705993679,staff,link
529,3,Homeland Park Water,https://homelandparkwater.com/,8642969766,staff,link
541,3,Eagle Water Management/Cypress Hill MUD 1,https://www.eaglewatermanagement.com/your-district/cypress-hill-mud-1/,2813748989,staff,link
544,3,Cinco MUD 8,https://www.inframark.com/connect-service-utility-districts/,2815794500,staff,link
545,3,Harris County MUD 457,https://www.sienviro.com/my-mud/harris-county-mud-457/#elementor-action%3Aaction%3Dpopup%3Aopen%26settings%3DeyJpZCI6IjE1NzkxIiwidG9nZ2xlIjpmYWxzZX0%3D,8324901600,staff,link
1922,3,"KC-WATER, MO",https://my.kcwater.us/eportal/#/startservice,8165131313,staff,link
3325,5,City of Stanley,https://ci.stanley.wi.gov/public-works/?,7156445758,staff,link
5754,6,City of Naches,https://townofnaches.com/contact/,5096532647,partner,link
5022,2,Easley Combined Utilities,https://www.easleyutilities.com/electric,8648594013,staff,link
5895,5,City of Bloomington Sanitation Department,https://bloomington.in.gov/sanitation,8123493443,staff,link
5928,3,City of Alva,https://www.alvaok.org/o/alvacity/page/utilities,5803271340,staff,link
1956,4,Si Energy,https://sienergy.epayub.com/customer/signup,8884687007,staff,link
3035,3,Gowrie Municipal Utilities,https://gowrie.frontdeskgworks.com/plugin/utilities/signup.html,5153523065,staff,link
8350,6,Mahoning County Sanitary Engineering Department,https://www.mahoningcountyoh.gov/528/building-or-buying-a-home,3307935514,staff,link
2772,5,Hoke county NC,https://www.hokecounty.net/205/Solid-Waste,9108753111,staff,link
1966,3,City of Cavecreek,https://www.cavecreekaz.gov/170/Utilities,4804886620,staff,link
558,3,Montgomery County MUD 111,https://idologywebnet.azurewebsites.net/ServiceAddress/?district=MC111,2815794500,staff,link
549,3,Harris County MUD 468,https://www.inframark.com/connect-service-utility-districts/?468,2845794500,staff,link
3239,5,City of Lenoir,https://www.lenoircitytn.gov/street-sanitation-department/,8659862715,staff,link
550,3,Harris County MUD 501,https://idologywebnet.azurewebsites.net/ServiceAddress/?district=HC501,7138606400,staff,link
3881,3,City of Lakeville Water Department,https://www.lakevillemn.gov/280/Water,9529852700,staff,link
5726,5,Huntersville,https://www.huntersville.org/,7048756541,partner,link
551,3,Remington MUD 1,https://www.remingtonmud1.org/water/,2813988211,staff,link
9637,5,Recology Cleanspaces,https://www.recology.com/recology-king-county/seattle/,2067648992,partner,link
6963,4,NOPEC,https://www.nopec.org/enrollment?gas,8556673201,staff,link
16007,4,Lawrenceburg Utility System TN,https://www.lburgus.com/,9317627161,staff,link
553,3,Dowdell PUD,https://drive.google.com/file/d/1QkUhwx3dLidVl3xUSDL86ADjtRLfNJsC/view?,2816511618,staff,link
554,3,Harris County MUD 371,https://idologywebnet.azurewebsites.net/ServiceAddress/?district=HC371,2815794500,staff,link
555,3,Northwest Harris County MUD 23  ,https://www.nwhcmud23.org/,2813539756,staff,link
556,3,Harris County MUD 354,https://idologywebnet.azurewebsites.net/ServiceAddress/?district=HC354,2815794500,staff,link
557,3,Harris County MUD 397,https://idologywebnet.azurewebsites.net/ServiceAddress/?district=HC397,2815794500,staff,link
526,3,Blue Granite Water Company - SC,https://www.myutility.us/bluegranitewater,8003674314,staff,link
50,3,Tarrant Regional Water District,https://www.trwd.com/contact/,5123938383,staff,link
1816,5,City of Westerville (OH),https://www.westerville.org/services/utility-billing/service-initiation??,6149016430,staff,link
47,3,City of Cartersville,https://survey123.arcgis.com/share/bbe8d52b8fec46028548f835b5336f15?Water,7703875607,staff,link
57,3,Municipal District Services,https://mdswater.com/newservice/,2812906500,staff,link
6127,3,Chambersburg Boro Water Sys,http://www.borough.chambersburg.pa.us/government/water.html,7172645151,staff,link
6202,3,North Adams Water and Sewer - MA,https://www.northadams-ma.gov/government/departments_offices/public_services/water_and_sewer/index.php,4136623156,staff,link
8119,4,Gas South | ANITA I HALE,http://share.gassouth.com/anitahale,8554277688,partner,link
